4K,#genre#
CCTV1综合[1920*1080],http://39.135.139.194:6610/PLTV/88888888/224/3221225618/1/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227014/index.m3u8
CCTV1综合[1920*1080],http://39.134.198.8:6610/yst.live.scmobile.com/otvzte.scmcc.com.cNF:8080/ysten-businessmbble/live/cctv-1/1.m3u8?
CCTV1综合[1920*1080],http://39.134.19.57/PLTV/88888888/224/3221225792/index.m3u8
CCTV1综合[1920*1080],http://39.135.139.214:6610/PLTV/88888888/224/3221225918/2/index.m3u8
CCTV1综合[1920*1080],http://117.136.156.40/PLTV/88888888/224/3221225663/index.m3u8
CCTV1综合[1920*1080],http://112.17.40.140/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228809/index.m3u8
CCTV1综合[1920*1080],http://39.135.139.194:6610/PLTV/88888888/224/3221225918/1/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221227014/1.m3u8
CCTV1综合[1920*1080],http://120.221.5.177:8089/PLTV/88888888/224/3221225859/1.m3u8
CCTV1综合[1920*1080],http://jxgz1.jilu8.cn/PLTV/88888888/224/3221225501/2/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://118.123.60.13:8114/z.m3u8?FvSeid=&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=&Fsv_chan_hls_se_idx=35&Provider_id=&Pcontent_id=&Fsv_otype=1
CCTV1综合[1920*1080],http://39.134.19.57/PLTV/88888888/224/3221225829/index.m3u8
CCTV1综合[1920*1080],http://112.17.40.6/PLTV/88888888/224/3221226541/index.m3u8
CCTV1综合[1920*1080],http://39.134.65.208/PLTV/88888888/224/3221225601/index.m3u8
CCTV1综合[1920*1080],http://39.135.135.30/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225710/index.m3u8
CCTV1综合[1920*1080],http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227675/index.m3u8
CCTV1综合[1920*1080],http://39.130.206.225:6610/gitv_live/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8?IASHttpSessionId=SLB154720200907034913071508
CCTV1综合[1920*1080],http://39.135.38.13/PLTV/88888888/224/3221226585/index.m3u8
CCTV1综合[1920*1080],http://118.123.60.7:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=028&Provider_id=&Pcontent_id=index.m3u8
CCTV1综合[1920*1080],http://39.130.206.225:6610/gitv_live/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8?IASHttpSessionId=SLB152920200913165045080358
CCTV1综合[1920*1080],http://39.135.139.214:6610/PLTV/88888888/224/3221225790/2/index.m3u8
CCTV1综合[1920*1080],http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225726/1/01.m3u8?fmt=ts2hls,3,01.m3u8,0,2744,0,0&
CCTV1综合[1920*1080],http://39.135.139.214:6610/PLTV/88888888/224/3221225762/2/index.m3u8
CCTV1综合[1920*1080],http://jxgz1.jilu8.cn/PLTV/88888888/224/3221225642/2/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://183.207.249.9/PLTV/3/224/3221225530/1.m3u8
CCTV1综合[1920*1080],http://39.135.38.13/PLTV/88888888/224/3221226488/index.m3u8
CCTV1综合[1920*1080],http://39.134.157.205/PLTV/88888888/224/3221225591/index.m3u8
CCTV1综合[1920*1080],http://39.135.139.194:6610/PLTV/88888888/224/3221225642/1/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://112.13.209.106/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV1综合[1920*1080],http://39.135.139.194:6610/PLTV/88888888/224/3221225790/1/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221226231/index.m3u8
CCTV1综合[1920*1080],http://118.123.60.16:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=052&Provider_id=&Pcontent_id=index.m3u8
CCTV1综合[1920*1080],http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV1综合[1920*1080],http://39.130.206.224:6610/gitv_live/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8?IASHttpSessionId=SLB154420200911045652076243
CCTV1综合[1920*1080],http://39.135.139.214:6610/PLTV/88888888/224/3221225618/2/index.m3u8
CCTV1综合[1920*1080],http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225829/index.m3u8
CCTV1综合[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8
CCTV1综合[1920*1080],http://39.134.19.28/PLTV/88888888/224/3221225684/index.m3u8
CCTV1综合[1920*1080],http://112.17.40.140/PLTV/88888888/224/3221226541/index.m3u8
CCTV1综合[1920*1080],http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
CCTV1综合[1920*1080],http://221.179.217.9//otttv.bj.chinamobile.com/PLTV/88888888/224/3221226154/1.m3u8
CCTV1综合[1920*1080],http://bjyd1.jilu8.cn/PLTV/88888888/224/3221226155/3.m3u8
CCTV1综合[1920*1080],http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227467/index.m3u8
CCTV1综合[1920*1080],http://bjyd1.jilu8.cn/PLTV/88888888/224/3221226226/3.m3u8
CCTV1综合[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1综合[1920*1080],http://39.135.248.150/hwcdntest.hb.chinamobile.com/PLTV/88888888/224/3221226235/3.m3u8
CCTV1综合[1920*1080],http://111.13.42.42/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226155/1.m3u8
CCTV1综合[1920*1080],http://39.135.139.196:6610/PLTV/88888888/224/3221225790/2/index.m3u8?fmt=ts2hls
CCTV1综合[1920*1080],http://dbiptv.sn.chinamobile.com/pltv/88888890/224/3221225548/index.m3u8
CCTV1综合[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225790/index.m3u8
CCTV1综合[1920*1080],http://112.50.243.8/PLTV/88888888/224/3221225829/1.m3u8
CCTV1综合[1920*1080],http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/index.m3u8
CCTV1综合[1920*1080],http://111.13.42.42/PLTV/88888888/224/3221226155/1.m3u8
CCTV1综合[1920*1080],http://39.135.135.53/PLTV/88888888/224/3221225601/index.m3u8
CCTV1综合[1920*1080],http://39.130.206.224:6610/gitv_live/G_CCTV-1-CQ/G_CCTV-1-CQ.m3u8?IASHttpSessionId=SLB152720200901113236061683
CCTV1综合[1920*1080],http://120.221.5.165:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1综合[1920*1080],http://182.138.51.79/PLTV/88888920/224/3221225793/index.m3u8
CCTV1综合[1920*1080],http://111.20.105.60:6060/yinhe/2/ch00000090990000001331?virtualDomain=yinhe.live_hls.zte.com
CCTV1综合[1920*1080],http://120.221.5.102:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1综合[1920*1080],http://39.134.156.16/PLTV/88888888/224/3221225658/index.m3u8
