江苏影视,rtmp://live-hls.jstv.com/livezhuzhan/jsys@jstv2m
天津卫视 4M1080,http://ott.js.chinamobile.com/PLTV/3/224/3221227212/index.m3u8
江西卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227214/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227215/index.m3u8
深圳卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227217/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227220/index.m3u8
北京卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227246/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227249/index.m3u8
黑龙江卫视 3.5M1080,http://ott.js.chinamobile.com/PLTV/3/224/3221227252/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227255/index.m3u8
山东卫视 8M1080,http://ott.js.chinamobile.com/PLTV/3/224/3221227258/index.m3u8
西藏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227277/index.m3u8
CCTV3,http://ott.js.chinamobile.com/PLTV/3/224/3221227295/index.m3u8
CCTV5,http://ott.js.chinamobile.com/PLTV/3/224/3221227298/index.m3u8
CCTV6,http://ott.js.chinamobile.com/PLTV/3/224/3221227301/index.m3u8
CCTV8,http://ott.js.chinamobile.com/PLTV/3/224/3221227304/index.m3u8
生活频道,http://ott.js.chinamobile.com/PLTV/3/224/3221227311/index.m3u8
CCTV10 3M1080,http://ott.js.chinamobile.com/PLTV/3/224/3221227317/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227320/index.m3u8
黑龙江卫视 3M1080,http://ott.js.chinamobile.com/PLTV/3/224/3221227323/index.m3u8
CETV1,http://ott.js.chinamobile.com/PLTV/3/224/3221227333/index.m3u8
CCTV电视指南,http://ott.js.chinamobile.com/PLTV/3/224/3221227337/index.m3u8
CCTV风云足球,http://ott.js.chinamobile.com/PLTV/3/224/3221227344/index.m3u8
CCTV高尔夫网球,http://ott.js.chinamobile.com/PLTV/3/224/3221227347/index.m3u8
CETV1,http://ott.js.chinamobile.com/PLTV/3/224/3221227355/index.m3u8
江苏卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227356/index.m3u8
山东卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227370/index.m3u8
影视剧频道,http://ott.js.chinamobile.com/PLTV/3/224/3221227372/index.m3u8
CCTV1,http://ott.js.chinamobile.com/PLTV/3/224/3221227374/index.m3u8
CCTV1,http://ott.js.chinamobile.com/PLTV/3/224/3221227375/index.m3u8
湖北卫视 3M1080,http://ott.js.chinamobile.com/PLTV/3/224/3221227377/index.m3u8
CCTV4,http://ott.js.chinamobile.com/PLTV/3/224/3221227378/index.m3u8
CCTV5+,http://ott.js.chinamobile.com/PLTV/3/224/3221227381/index.m3u8
天津卫视 3M1080,http://ott.js.chinamobile.com/PLTV/3/224/3221227382/index.m3u8
CCTV11,http://ott.js.chinamobile.com/PLTV/3/224/3221227384/index.m3u8
徐州贾汪新闻,http://ott.js.chinamobile.com/PLTV/3/224/3221227385/index.m3u8
