📡天津联通,#genre#
一至三年级,http://117.10.8.201: 4022/udp/225.1.2.129:5002
百事通经典重温HD,http://117.10.8.201: 4022/udp/225.1.2.131:5002
182,http://117.10.8.201: 4022/udp/225.1.2.182:5002
183,http://117.10.8.201: 4022/udp/225.1.2.183:5002
BDTV,http://117.10.8.201: 4022/udp/225.1.1.83:5002

天津文艺广播,http://117.10.8.201: 4022/udp/225.1.1.171:5002
天津经济广播,http://117.10.8.201: 4022/udp/225.1.1.172:5002
天津新闻广播,http://117.10.8.201: 4022/udp/225.1.1.173:5002
天津生活广播,http://117.10.8.201: 4022/udp/225.1.1.174:5002
天津交通广播,http://117.10.8.201: 4022/udp/225.1.1.175:5002
天津相声广播,http://117.10.8.201: 4022/udp/225.1.1.176:5002
天津小说广播,http://117.10.8.201: 4022/udp/225.1.1.177:5002
天津滨海广播,http://117.10.8.201: 4022/udp/225.1.1.178:5002
天津音乐广播,http://117.10.8.201: 4022/udp/225.1.1.179:5002
天津动听885广播,http://117.10.8.201: 4022/udp/225.1.1.180:5002
